Id,Label,sexlabel,type
785,Lygia Bojunga Nunes,femenino,true
786,Patricia Wrightson,femenino,true
787,Carla Guelfenbein,femenino,true
788,Pau Faner,masculino,true
789,Lorenzo Silva,masculino,true
790,Juan Gabriel Vásquez,masculino,true
791,Carlos Droguett,masculino,true
792,Luis Leante,masculino,true
793,Julia Glass,femenino,true
794,Andrew Fetler,masculino,true
795,Michel Nieva,masculino,true
796,Paul von Heyse,masculino,true
797,José María Carrascal,masculino,true
798,José Ovejero,masculino,true
799,José Vidal Cadellans,masculino,true
800,Juan Antonio Payno,masculino,true
801,John Casey,masculino,true
802,José Suárez Carreño,masculino,true
803,Larry Heinemann,masculino,true
804,Predrag Matvejević,masculino,true
805,Alessandro Piperno,masculino,true
806,Antonio Pennacchi,masculino,true
807,Anna Maria Geertruida Schmidt,femenino,true
808,Julian Leonard Street,masculino,true
809,Hélia Correia,femenino,true
810,Pilar Quintana,femenino,true
811,Lisbeth Zwerger,femenino,true
812,Christine Nöstlinger,femenino,true
813,Wilbur Schramm,masculino,true
814,Claudio Magris,masculino,true
815,Margaret Prescott Montague,femenino,true
816,Jesús Fernández Santos,masculino,true
817,Andrés Trapiello,masculino,true
818,Giuseppe Dessì,masculino,true
819,Tommaso Landolfi,masculino,true
820,Felipe Benítez Reyes,masculino,true
821,Francisco García Pavón,masculino,true
822,Margaret Mahy,femenino,true
823,Elsa Morante,femenino,true
824,Sergio Ramírez,masculino,true
825,Tomás Eloy Martínez,masculino,true
826,Santiago Roncagliolo,masculino,true
827,Jürg Schubiger,masculino,true
828,Laura van den Berg,femenino,true
829,Laura Restrepo,femenino,true
830,Ema Wolf,femenino,true
831,Care Santos,femenino,true
832,Najat el Hachmi,femenino,true
833,Carmen Amoraga,femenino,true
834,Juan Pedro Aparicio,masculino,true
835,Juan Ramón Zaragoza,masculino,true
836,Luis Romero,masculino,true
837,Patricio Pron,masculino,true
838,Salvador García Aguilar,masculino,true
839,Kiran Desai,femenino,true
840,José Antonio García Blázquez,masculino,true
841,Leopoldo Brizuela,masculino,true
842,Eliseo Alberto,masculino,true
843,Arménio Vieira,masculino,true
844,Álvaro Cunqueiro,masculino,true
845,Carlo Cassola,masculino,true
846,Edoardo Nesi,masculino,true
847,Ferdinando Camon,masculino,true
848,Gustavo Martín Garzo,masculino,true
849,Carlos Rojas Vila,masculino,true
850,Manuel Vicent,masculino,true
851,Xavier Velasco,masculino,true
852,José Félix Tapia,masculino,true
853,Dolores Medio,femenino,true
854,Francisco José Alcántara,masculino,true
855,Germán Sánchez Espeso,masculino,true
856,Ignacio Carrión,masculino,true
857,José Luis Martín Descalzo,masculino,true
858,Anita Brookner,femenino,true
859,Graciela Montes,femenino,true
860,José María Gironella,masculino,true
861,Giovanni Battista Angioletti,masculino,true
862,José Jiménez Lozano,masculino,true
863,Daniel Sueiro,masculino,true
864,José María Mendiola,masculino,true
865,Dino Buzzati,masculino,true
866,Niccolò Ammaniti,masculino,true
867,María Teresa Andruetto,femenino,true
868,Mariusz Szczygieł,masculino,true
869,Andrzej Stasiuk,masculino,true
870,Fulvio Tomizza,masculino,true
871,Mary Lee Settle,femenino,true
872,Susan Choi,femenino,true
873,Eduardo Caballero Calderón,masculino,true
874,Eduardo Lago,masculino,true
875,Pedro Maestre Herrero,masculino,true
876,Kingsley Amis,masculino,true
877,Farshid Mesghali,masculino,true
878,Corrado Alvaro,masculino,true
879,Aidan Chambers,masculino,true
880,Peter Carey,masculino,true
881,Michael Ondaatje,masculino,true
882,David Wiegand,masculino,true
883,Lalla Romano,femenino,true
884,Ottessa Moshfegh,femenino,true
885,Lesley Nneka Arimah,femenino,true
886,Dina Nayeri,femenino,true
887,Fiona McFarlane,femenino,true
888,Neela Vaswani,femenino,true
889,Karina Sainz Borgo,femenino,true
890,Rafael Chirbes,masculino,true
891,Kirmen Uribe,masculino,true
892,Giorgio Bassani,masculino,true
893,Ugo Riccarelli,masculino,true
894,Laureano Albán,masculino,true
895,Rogelio Guedea,masculino,true
896,Miguel Fernández,masculino,true
897,Elvira Lindo,femenino,true
898,Pascale Roze,femenino,true
899,Luis Berenguer,masculino,true
900,Jesús Torbado Carro,masculino,true
901,Jorge Franco,masculino,true
902,Henri Fauconnier,masculino,true
903,Adrien Bertrand,masculino,true
904,Joan Margarit i Consarnau,masculino,true
905,Bernardo Atxaga,masculino,true
906,E. B. White,masculino,true
907,Ramiro Pinilla,masculino,true
908,Sergio Vila-Sanjuán,masculino,true
909,Víctor del Árbol,masculino,true
910,José C. Vales,masculino,true
911,Alejandro Palomas,masculino,true
912,Carlos Cañeque Solá,masculino,true
913,Vicente Soto Iborra,masculino,true
914,John Berger,masculino,true
915,Graham Swift,masculino,true
916,Carme Riera,femenino,true
917,Marc Elder,masculino,true
918,Guy Mazeline,masculino,true
919,Henri Deberly,masculino,true
920,Hilary Mantel,femenino,true
921,Bernice Rubens,femenino,true
922,Antonio Orlando Rodríguez,masculino,true
923,Alfonso Grosso,masculino,true
924,Alejandro Gándara,masculino,true
925,Noemí María Girbal-Blacha,femenino,true
926,Eiko Kadono,femenino,true
927,Suekichi Akaba,masculino,true
928,Paolo Giordano,masculino,true
929,Ben Okri,masculino,true
930,Alan Hollinghurst,masculino,true
931,Lluïsa Forrellad,femenino,true
932,Alonso Zamora Vicente,masculino,true
933,Jérôme Tharaud,masculino,true
934,Marc Bernard,masculino,true
935,Maurice Constantin-Weyer,masculino,true
936,Lydie Salvayre,femenino,true
937,Maurizio Maggiani,masculino,true
938,Émile Moselly,masculino,true
939,Pierre Gascar,masculino,true
940,Jean Cau,masculino,true
941,John Antoine Nau,masculino,true
942,Jean-Louis Bory,masculino,true
943,Henry Malherbe,masculino,true
944,René Benjamin,masculino,true
945,Lucien Bodard,masculino,true
946,Joseph Peyré,masculino,true
947,Domenico Starnone,masculino,true
948,Penelope Lively,femenino,true
949,Keri Hulme,femenino,true
950,Penelope Fitzgerald,femenino,true
951,Ana Maria Machado,femenino,true
952,José María Merino,masculino,true
953,Pep Albanell,masculino,true
954,Eleanor Catton,femenino,true
955,Anna Burns,femenino,true
956,Alfonso Martínez Garrido,masculino,true
957,José María Requena,masculino,true
958,Cristian Alarcón Casanova,masculino,true
959,Héctor Vázquez-Azpiri,masculino,true
960,Alfredo Bryce Echenique,masculino,true
961,Carmen Gómez Ojea,femenino,true
962,James Kelman,masculino,true
963,Stanley Middleton,masculino,true
964,David Storey,masculino,true
965,Julian Barnes,masculino,true
966,Aravind Adiga,masculino,true
967,Ida Vitale,femenino,true
968,Bernardine Evaristo,femenino,true
969,Francis de Miomandre,masculino,true
970,Roger Vercel,masculino,true
971,Raúl Guerra Garrido,masculino,true
972,Mariasun Landa,femenino,true
973,Paul Beatty,masculino,true
974,Marcos Giralt Torrente,masculino,true
975,Inés Martín Rodrigo,femenino,true
976,Iris Murdoch,femenino,true
977,Carmen Conde,femenino,true
978,Ángeles Caso,femenino,true
979,Espido Freire,femenino,true
980,Chantal Maillard,femenino,true
981,Olga Novo,femenino,true
982,Maite Carranza,femenino,true
983,Emili Teixidor,masculino,true
984,Antonio Rodríguez Almodóvar,masculino,true
985,Alfonso Martínez-Mena,masculino,true
986,Suso de Toro,masculino,true
987,Andreu Martín,masculino,true
988,Eleanor Farjeon,femenino,true
989,Manuel Rivas,masculino,true
990,Laura Gallego García,femenino,true
991,Fernando Lalana,masculino,true
992,Raimon Portell,masculino,true
993,Juan Kruz Igerabide,masculino,true
994,Paco Martín,masculino,true
995,Xesús Fraga,masculino,true
996,César Mallorquí,masculino,true
997,Miguel Ángel Pacheco,masculino,true
998,Juan Farias,masculino,true
999,Luis Gasulla,masculino,true
1000,José María Sanjuán Urmeneta,masculino,true
1001,José Luis de Tomás García,masculino,true
1002,Damon Galgut,masculino,true
1003,P. H. Newby,masculino,true
1004,Gabriel Janer Manila,masculino,true
1005,Ledicia Costas,femenino,true
1006,Javier Marías,masculino,true
1007,James Gordon Farrell,masculino,true
1008,Paul Scott,masculino,true
1009,Barry Unsworth,masculino,true
1010,Ángel María de Lera,masculino,true
1011,Juan Eslava Galán,masculino,true
1012,Ángel Vázquez Molina,masculino,true
1013,Antonio Gala,masculino,true
1014,DBC Pierre,masculino,true
1015,Howard Jacobson,masculino,true
1016,Javier Moro,masculino,true
1017,José Antonio Muñoz Rojas,masculino,true
1018,Javier Sierra,masculino,true
1019,Concha Alós,femenino,true
1020,Antonio García Teijeiro,masculino,true
1021,José Luis Castillo-Puche,masculino,true
1022,Luis Landero,masculino,true
1023,Manuel Vázquez Montalbán,masculino,true
1024,Javier Cercas,masculino,true
1025,Antonio Prieto Martín,masculino,true
1026,Antonio Santos Mercero,masculino,true
1027,Melania G. Mazzucco,femenino,true
1028,Margaret Mazzantini,femenino,true
1029,Virginia Hamilton,femenino,true
1030,Jordi Sierra i Fabra,masculino,true
1031,Vicente Muñoz Puelles,masculino,true
1032,Carmen Posadas,femenino,true
1033,Fina Casalderrey,femenino,true
1034,Montserrat del Amo,femenino,true
1035,Marcos Aguinis,masculino,true
1036,Pere Gimferrer,masculino,true
1037,Jorge Zepeda Patterson,masculino,true
1038,Fernando Schwartz,masculino,true
1039,Rodrigo Rubio,masculino,true
1040,Francisco González Ledesma,masculino,true
1041,Agustín Fernández Paz,masculino,true
1042,Unai Elorriaga López de Letona,masculino,true
1043,Maria de la Pau Janer,femenino,true
1044,Marcela Serrano,femenino,true
1045,Soledad Puértolas,femenino,true
1046,Cristina Fernández Cubas,femenino,true
1047,Thomas Keneally,masculino,true
1048,John Banville,masculino,true
1049,Luis Mateo Díez,masculino,true
1050,Xabier P. Docampo,masculino,true
1051,Fernando Savater,masculino,true
1052,Antonio Muñoz Molina,masculino,true
1053,Concha Espina,femenino,true
1054,Antonio Colinas,masculino,true
1055,Leopoldo de Luis,masculino,true
1056,Vicente Molina Foix,masculino,true
1057,Fernando González Delgado,masculino,true
1058,Jesús Zárate,masculino,true
1059,Jorge Díaz,masculino,true
1060,Carmen Kurtz,femenino,true
1061,Leonard Cohen,masculino,true
1062,Ignacio Martínez de Pisón,masculino,true
1063,Miquel Desclot,masculino,true
1064,Joan Vinyoli,masculino,true
1065,Marta Portal,femenino,true
1066,Almudena Grandes,femenino,true
1067,Jaume Ribera,masculino,true
1068,Carmen Mola,femenino,true
1069,Ramón J. Sender,masculino,true
1070,Terenci Moix,masculino,true
1071,Daniel Sánchez Arévalo,masculino,true
1072,José Luis Olaizola,masculino,true
1073,Andrés Bosch,masculino,true
1074,Fernando Sánchez Dragó,masculino,true
1075,Ricardo de la Cierva y Hoces,masculino,true
1076,Antonio Larreta,masculino,true
1077,Jorge Semprún,masculino,true
1078,Cristina López Barrio,femenino,true
1079,Eva García Sáenz de Urturi,femenino,true
1080,Juan Antonio Vallejo-Nágera,masculino,true
1081,Juan José Mira,masculino,true
1082,Fernando Bermúdez de Castro,masculino,true
1083,Manuel Ferrand Murillo,masculino,true
1084,Agustín Martínez,masculino,true
1085,Carlos Rojas,masculino,true
1086,Mercedes Salisachs,femenino,true
1087,Juan Benet,masculino,true
1088,Boris Izaguirre,masculino,true
1089,Jaime Bayly,masculino,true
1090,Alberto Méndez,masculino,true
1091,Josep Vallverdú,masculino,true
1092,José Luis Acquaroni,masculino,true
1093,Carmen Bravo-Villasante,femenino,true
1094,Emilio Pascual,masculino,true
1095,Alfredo Gómez Cerdá,masculino,true
1096,Dolores Redondo,femenino,true
1097,George Saunders,masculino,true
1098,Richard Flanagan,masculino,true
1099,William T. Vollmann,masculino,true
1100,Thomas Pynchon,masculino,true
1101,Susan Sontag,femenino,true
1102,Emilio Romero Gómez,masculino,true
1103,Neel Mukherjee,masculino,true
1104,Marlon James,masculino,true
1105,Douglas Stuart,masculino,true
1106,John Barth,masculino,true
1107,Tomás Salvador,masculino,true
1108,Torcuato Luca de Tena,masculino,true
1109,William Gaddis,masculino,true
1110,Pete Dexter,masculino,true
1111,James Jones,masculino,true
1112,Walker Percy,masculino,true
1113,Ismail Kadare,masculino,true
1114,Arthur Miller,masculino,true
1115,Amos Oz,masculino,true
1116,Thornton Wilder,masculino,true
1117,Nativel Preciado,femenino,true
1118,Santiago Lorén,masculino,true
1119,Santiago Posteguillo,masculino,true
1120,Fred Vargas,femenino,true
1121,Fatema Mernissi,femenino,true
1122,Éric Neuhoff,masculino,true
1123,Étienne de Montety,masculino,true
1124,Adrien Bosc,masculino,true
1125,Theodor Heuss,masculino,true
1126,Philip Roth,masculino,true
1127,E. L. Doctorow,masculino,true
1128,Jonathan Franzen,masculino,true
1129,Jerzy Kosinski,masculino,true
1130,Adam Zagajewski,masculino,true
1131,Liliane Guignabodet,femenino,true
1132,Rosa Chacel,femenino,true
1133,Núria Perpinyà,femenino,true
1134,Joël Dicker,masculino,true
1135,Louis Gardel,masculino,true
1136,Louis de Blois,masculino,true
1137,Cristóbal Zaragoza,masculino,true
1138,Xavier Benguerel,masculino,true
1139,Antonio Skármeta,masculino,true
1140,Fritz Stern,masculino,true
1141,Alexander Mitscherlich,masculino,true
1142,Wolf Lepenies,masculino,true
1143,Paul Tillich,masculino,true
1144,Augustin Bea,masculino,true
1145,Marion Dönhoff,femenino,true
1146,Pablo García Baena,masculino,true
1147,Francisco Nieva,masculino,true
1148,William Styron,masculino,true
1149,Juana Castro Muñoz,femenino,true
1150,Elías Gómez Picazo,masculino,true
1151,Ellen Gilchrist,femenino,true
1152,Jan Assmann,masculino,true
1153,Carl Friedrich von Weizsäcker,masculino,true
1154,Alfred Grosser,masculino,true
1155,Martin Buber,masculino,true
1156,Karl Dedecius,masculino,true
1157,Jürgen Habermas,masculino,true
1158,Raquel Lanseros,femenino,true
1159,Siri Hustvedt,femenino,true
1160,Nélida Piñón,femenino,true
1161,Richard Ford,masculino,true
1162,John O'Hara,masculino,true
1163,Annemarie Schimmel,femenino,true
1164,Reinhold Schneider,masculino,true
1165,Manès Sperber,masculino,true
1166,Václav Havel,masculino,true
1167,Siegfried Lenz,masculino,true
1168,María Victoria Atencia,femenino,true
1169,Roger Chauviré,masculino,true
1170,Yves Gandon,masculino,true
1171,Édouard Peisson,masculino,true
1172,Leonardo Padura Fuentes,masculino,true
1173,Ralph Ellison,masculino,true
1174,Don DeLillo,masculino,true
1175,Arturo Uslar Pietri,masculino,true
1176,José María Guelbenzu,masculino,true
1177,Paul Auster,masculino,true
1178,Ricardo Gullón,masculino,true
1179,Claudio Rodríguez Fer,masculino,true
1180,Richard Powers,masculino,true
1181,Emmanuel Carrère,masculino,true
1182,Ángel González,masculino,true
1183,Karl Jaspers,masculino,true
1184,Yvonne Pagniez,femenino,true
1185,Albert Schweitzer,masculino,true
1186,Friedrich Schorlemmer,masculino,true
1187,Jaron Lanier,masculino,true
1188,Carl Jacob Burckhardt,masculino,true
1189,Anne Carson,femenino,true
1190,Ernst Bloch,masculino,true
1191,Max Frisch,masculino,true
1192,Rafael Lapesa Melgar,masculino,true
1193,Hans Jonas,masculino,true
1194,Martin Walser,masculino,true
1195,Romano Guardini,masculino,true
1196,Aleida Assmann,femenino,true
1197,Pierre Lagarde,masculino,true
1198,Pierre Moustiers,masculino,true
1199,Pierre Villetard,masculino,true
1200,Robert Bourget-Pailleron,masculino,true
1201,Robert Margerit,masculino,true
1202,Marie Ferranti,femenino,true
1203,Roger Schutz,masculino,true
1204,Amartya Sen,masculino,true
1205,Navid Kermani,masculino,true
1206,Marc Blancpain,masculino,true
1207,Marc Bressant,masculino,true
1208,Michel de Saint Pierre,masculino,true
1209,Pascal Jardin,masculino,true
1210,Alva Myrdal,femenino,true
1211,Cormac McCarthy,masculino,true
1212,George F. Kennan,masculino,true
1213,Sarvepalli Radhakrishnan,masculino,true
1214,Chinua Achebe,masculino,true
1215,Yehudi Menuhin,masculino,true
1216,Abelardo Linares,masculino,true
1217,Janusz Korczak,masculino,true
1218,David Grossman,masculino,true
1219,Péter Esterházy,masculino,true
1220,Gabriel Marcel,masculino,true
1221,Carlos Bousoño,masculino,true
1222,Assia Djebar,femenino,true
1223,Paule Régnier,femenino,true
1224,Tsitsi Dangarembga,femenino,true
1225,Gunnar Myrdal,masculino,true
1226,Augusto Monterroso,masculino,true
1227,Anselm Kiefer,masculino,true
1228,Joanna Bator,femenino,true
1229,Agnia Bartó,femenino,true
1230,Uri Orlev,masculino,true
1231,david almond,masculino,true
1232,Max Tau,masculino,true
1233,Paul Acker,masculino,true
1234,Paul Mousset,masculino,true
1235,Pham Van Ky,masculino,true
1236,Ignacio Aldecoa,masculino,true
1237,José Carlos Somoza,masculino,true
1238,Xavier Rubert de Ventós,masculino,true
1239,Léopold Sédar Senghor,masculino,true
1240,Leszek Kołakowski,masculino,true
1241,Dušan Kállay,masculino,true
1242,Robert Ingpen,masculino,true
1243,Patrick Grainville,masculino,true
1244,Paul Colin,masculino,true
1245,Alfonsa de la Torre,femenino,true
1246,Dvora Omer,femenino,true
1247,Martin Waddell,masculino,true
1248,Bohumil Říha,masculino,true
1249,Villy Sørensen,masculino,true
1250,Karol Modzelewski,masculino,true
1251,Jörg Müller,masculino,true
1252,Nahum Gutman,masculino,true
1253,Ernesto Cardenal,masculino,true
1254,Teddy Kollek,masculino,true
1255,Josefina Aldecoa,femenino,true
1256,Olvido García Valdés,femenino,true
1257,Elvira Hernández,femenino,true
1258,Dolores Soler-Espiauba,femenino,true
1259,César González-Ruano,masculino,true
1260,Dardo Scavino,masculino,true
1261,Josep M. Colomer,masculino,true
1262,José Antonio Garriga Vela,masculino,true
1263,José Daniel García,masculino,true
1264,José Luis Muñoz Jimeno,masculino,true
1265,Benjamín Prado,masculino,true
1266,Éric Vuillard,masculino,true
1267,Baruch Tor-Raz,masculino,true
1268,Andrzej Franaszek,masculino,true
1269,Eduardo Mendicutti,masculino,true
1270,Martín Casariego,masculino,true
1271,Carmen Berenguer,femenino,true
1272,Mira Meir,femenino,true
1273,Nahoko Uehashi,femenino,true
1274,José Luis Rodríguez del Corral,masculino,true
1275,José Manuel Díez,masculino,true
1276,José María Micó,masculino,true
1277,José María Millares,masculino,true
1278,Javier Cánaves,masculino,true
1279,Jorge Ferrer Vidal,masculino,true
1280,Manlio Cancogni,masculino,true
1281,Vincenzo Consolo,masculino,true
1282,Luisa Castro,femenino,true
1283,Francisca Aguirre,femenino,true
1284,Juan María Mansera Conde,masculino,true
1285,Juan Muñoz Martín,masculino,true
1286,Fernando Quiñones,masculino,true
1287,Javier Echeverría,masculino,true
1288,Marian Pilot,masculino,true
1289,Kelvin Lindemann,masculino,true
1290,Julio Martínez Mesanza,masculino,true
1291,Luis Alberto de Cuenca,masculino,true
1292,Gonzalo Torrente Malvido,masculino,true
1293,William Ospina,masculino,true
1294,A. G. Porta,masculino,true
1295,José Luis Pardo,masculino,true
1296,Rafael Guillén,masculino,true
1297,Eugenio Trías,masculino,true
1298,José Carol Archs,masculino,true
1299,Antònia Vicens,femenino,true
1300,Laura Campmany,femenino,true
1301,Sh. Shifra,femenino,true
1302,Leïla Slimani,femenino,true
1303,Carlos Marzal,masculino,true
1304,María Baranda,femenino,true
1305,Miriam Reyes,femenino,true
1306,Luis Melgarejo,masculino,true
1307,Fulgencio Argüelles,masculino,true
1308,Adriano del Valle,masculino,true
1309,Ángeles Mora,femenino,true
1310,Miguel Casado,masculino,true
1311,Pierre Lemaitre,masculino,true
1312,Roger Ikor,masculino,true
1313,Thierry Sandre,masculino,true
1314,Jose Luis Prado Nogueira,masculino,true
1315,Lázaro Covadlo,masculino,true
1316,Manuel Cruz,masculino,true
1317,Alfonso Canales,masculino,true
1318,Alfredo Taján,masculino,true
1319,Gloria Gervitz,femenino,true
1320,Rafael Azuar,masculino,true
1321,Andrea Abreu López,femenino,true
1322,Patricia Soley-Beltrán,femenino,true
1323,David Hernández Sevillano,masculino,true
1324,Carlos Briones,masculino,true
1325,Carmen Boullosa,femenino,true
1326,Fernando Chivite,masculino,true
1327,Jesús Aguado,masculino,true
1328,Miguel-Anxo Murado,masculino,true
1329,Víctor Gómez Pin,masculino,true
1330,Emilio Sola,masculino,true
1331,Luis del Val,masculino,true
1332,Luis Álvarez Piñer,masculino,true
1333,Luís Blanco Vila,masculino,true
1334,Magdalena Grochowska,femenino,true
1335,Miren Agur Meabe,femenino,true
1336,Pilar Pallarés García,femenino,true
1337,José Corredor Matheos,masculino,true
1338,Manuel Álvarez Torneiro,masculino,true
1339,Carmen Jodra,femenino,true
1340,Nicolas Mathieu,masculino,true
1341,Mohamed Mbougar Sarr,masculino,true
1342,Víctor Chamorro,masculino,true
1343,Álvaro Tato,masculino,true
1344,Antonio Carvajal,masculino,true
1345,Jorge Ortega,masculino,true
1346,Norbert Bilbeny,masculino,true
1347,Manuel Delgado Ruiz,masculino,true
1348,Antonio Escohotado,masculino,true
1349,Basilio Fernández López,masculino,true
1350,Ariadna G. García,femenino,true
1351,Begoña García-Diego,femenino,true
1352,Andrea Ferrari,femenino,true
1353,Antonio Hernández Ramírez,masculino,true
1354,Eusebio García Luengo,masculino,true
1355,Jordi Llovet i Pomar,masculino,true
1356,Fermín Herrero,masculino,true
1357,Daniel Gamper,masculino,true
1358,Matías Montes Huidobro,masculino,true
1359,Víctor Maña,masculino,true
1360,Juan Manuel Muñoz Aguirre,masculino,true
