Id,Label,sexlabel,type
182,Paule Constant,femenino,true
183,Frédérick Tristan,masculino,true
184,Didier Decoin,masculino,true
185,Pierre Combescot,masculino,true
186,Laurent Gaudé,masculino,true
187,Jean-Jacques Schuhl,masculino,true
188,Rose Tremain,femenino,true
189,Jane Smiley,femenino,true
190,Louise Erdrich,femenino,true
191,Patricia Highsmith,femenino,true
192,Joyce Johnson,femenino,true
193,Jean Stafford,femenino,true
194,Roger Vailland,masculino,true
195,Félicien Marceau,masculino,true
196,Jean-Paul Dubois,masculino,true
197,Henri Pourrat,masculino,true
198,George Bernard Shaw,masculino,true
199,Theodor Mommsen,masculino,true
200,Seamus Heaney,masculino,true
201,Ann Patchett,femenino,true
202,Mary Gordon,femenino,true
203,Antonine Maillet,femenino,true
204,Ernest Pérochon,masculino,true
205,Georges Conchon,masculino,true
206,Sinclair Lewis,masculino,true
207,Jean Fayard,masculino,true
208,André Savignon,masculino,true
209,Dorothy Parker,femenino,true
210,Tillie Olsen,femenino,true
211,Sergio Pitol,masculino,true
212,Ira Glass,masculino,true
213,Héctor Rondón Lovera,masculino,true
214,Adam Johnson,masculino,true
215,Alex Jones,masculino,true
216,Fernando del Paso Morante,masculino,true
217,José Emilio Pacheco,masculino,true
218,Denis Johnson,masculino,true
219,Junot Díaz,masculino,true
220,Helen Dunmore,femenino,true
221,Mark Haddon,masculino,true
222,Thomas J. Mabry,masculino,true
223,Hermann Hesse,masculino,true
224,Gao Xingjian,masculino,true
225,Bertrand Russell,masculino,true
226,Rafael Sánchez Ferlosio,masculino,true
227,Juan Gelman,masculino,true
228,Luis Rosales,masculino,true
229,Maurice Bedel,masculino,true
230,Yves Navarre,masculino,true
231,Jean-Louis Curtis,masculino,true
232,Carlotta Gall,femenino,true
233,Claude Farrère,masculino,true
234,Marjorie Kinnan Rawlings,femenino,true
235,Anne Michaels,femenino,true
236,Michel Host,masculino,true
237,Jacques Borel,masculino,true
238,Marius Grout,masculino,true
239,Pascal Lainé,masculino,true
240,Albert Camus,masculino,true
241,Cynthia Ozick,femenino,true
242,Yiyun Li,femenino,true
243,Louis Pergaud,masculino,true
244,Jean Tharaud,masculino,true
245,Charles Plisnier,masculino,true
246,Sebastià Juan Arbó,masculino,true
247,Jorge Amado,masculino,true
248,Melanie Jayne Burford,femenino,true
249,Maggie Michael,femenino,true
250,Hannah McKay,femenino,true
251,Władysław Reymont,masculino,true
252,Albert Cohen,masculino,true
253,Michel Déon,masculino,true
254,Antonio Gamoneda,masculino,true
255,Dave Barry,masculino,true
